######;
#Формат загрузки финишных результатов:;
#номер;время финиша
######;
2;11:00
7;11:03
14;11:06
21;11:09
31;11:12
33;11:15
37;11:18
48;11:21
56;11:24
61;11:27
9;11:31
11;11:34
16;11:37
25;11:40
26;11:43
28;11:46
34;11:49
40;11:52
42;11:55
54;11:58
55;12:01
60;12:04
65;12:08
66;12:11
67;12:14
78;12:17
6;12:20
15;12:23
17;12:26
19;12:29
35;12:32
45;12:35
68;12:38
72;12:41
77;12:45
3;12:48
4;12:51
8;12:54
18;12:57
20;13:00
22;13:03
24;13:06
29;13:09
41;13:12
47;13:15
57;13:18
58;13:22
62;13:25
64;13:28
70;13:31
75;13:34
76;13:37
79;13:40
10;13:43
30;13:46
32;13:49
39;13:52
51;13:55
52;13:59
63;14:02
74;14:05
1;14:08
5;14:11
12;14:14
13;14:17
23;14:20
27;14:23
36;14:26
38;14:29
43;14:32
44;14:36
46;14:39
49;14:42
50;14:45
53;14:48
59;14:51
69;14:54
71;14:57
73;15:00
